k;CPLST;LRWithPCA;LRWithRandomPCA;OCCA;LR
0.2;0.00877211;0.00880369;0.00895478;0.00902318;0.00874934
0.3;0.00876478;0.00876905;0.00890323;0.00897913;0.00874945
0.4;0.00876193;0.00876347;0.00881233;0.00893343;0.00874956
0.5;0.00875006;0.00875296;0.00877709;0.00890295;0.00874934
0.6;0.00874617;0.00875258;0.00876795;0.00889245;0.00874978
0.7;0.00875466;0.00875575;0.0087633;0.00889316;0.00874876
0.8;0.00875088;0.0087569;0.00875148;0.00888626;0.00874456
0.9;0.00875389;0.0087505;0.00875088;0.0088861;0.00874967
1;0.008754;0.0087523;0.00874585;0.00874809;0.00874877
